manuscript,plate,frag,side,label,publication,publication_number,image_identifier,image_url
4Q171,600,12,recto,Full Spectrum Color-Recto,Allegro 1968. DJD 5: 42-50.,$,8b8c3e3eb8e50dbad6fa81260c4f5f826c57ee675950dc07b1525110b8959470,https://iaa.iiifhosting.com/iiif/8b8c3e3eb8e50dbad6fa81260c4f5f826c57ee675950dc07b1525110b8959470
4Q171,600,12,recto,Near Infra-Red (NIR) -Recto,Allegro 1968. DJD 5: 42-50.,$,dede6fd6633bc35ec6b65690ef499e8f2b1772d5b687d340c3a2d01cd7ed2e3c,https://iaa.iiifhosting.com/iiif/dede6fd6633bc35ec6b65690ef499e8f2b1772d5b687d340c3a2d01cd7ed2e3c
4Q171,600,12,verso,Full Spectrum Color-Verso,Allegro 1968. DJD 5: 42-50.,$,f52550942fcecc96dc76c19b1f4830959d195460a6c99993aef5e7a351e9a431,https://iaa.iiifhosting.com/iiif/f52550942fcecc96dc76c19b1f4830959d195460a6c99993aef5e7a351e9a431
4Q171,600,12,verso,Near Infra-Red (NIR) -Verso,Allegro 1968. DJD 5: 42-50.,$,d092af6b2a18326d17531ecf484ef056d51f76e4ddca5d59ce279ffff1be5eef,https://iaa.iiifhosting.com/iiif/d092af6b2a18326d17531ecf484ef056d51f76e4ddca5d59ce279ffff1be5eef
4Q171,600,13,recto,Full Spectrum Color-Recto,Allegro 1968. DJD 5: 42-50.,$,a1c7c87affaf4122b038ebcab92e33d79077b79b550ad40508f6d15e7362fe35,https://iaa.iiifhosting.com/iiif/a1c7c87affaf4122b038ebcab92e33d79077b79b550ad40508f6d15e7362fe35
4Q171,600,13,recto,Near Infra-Red (NIR) -Recto,Allegro 1968. DJD 5: 42-50.,$,7eac0d1613687328eb4a8be51fff265eb9108deae862fa3f7ae2858db3c47046,https://iaa.iiifhosting.com/iiif/7eac0d1613687328eb4a8be51fff265eb9108deae862fa3f7ae2858db3c47046
4Q171,600,13,verso,Full Spectrum Color-Verso,Allegro 1968. DJD 5: 42-50.,$,dfd7f1fc0bbeff39da5f1a60521258b2bd2e541a5b0bbe8ae8b60d54f5c57955,https://iaa.iiifhosting.com/iiif/dfd7f1fc0bbeff39da5f1a60521258b2bd2e541a5b0bbe8ae8b60d54f5c57955
4Q171,600,13,verso,Near Infra-Red (NIR) -Verso,Allegro 1968. DJD 5: 42-50.,$,3808a868849a1e16a2a34d99dad245252b48a8ab4d74d93ebc3e3d59680cd3b1,https://iaa.iiifhosting.com/iiif/3808a868849a1e16a2a34d99dad245252b48a8ab4d74d93ebc3e3d59680cd3b1
4Q171,600,3,recto,Full Spectrum Color-Recto,Allegro 1968. DJD 5: 42-50.,$,f089ce909fa1aeff45cbe6ae0d76496dc3dadd2b82d051746e16730506fcca9b,https://iaa.iiifhosting.com/iiif/f089ce909fa1aeff45cbe6ae0d76496dc3dadd2b82d051746e16730506fcca9b
4Q171,600,3,recto,Near Infra-Red (NIR) -Recto,Allegro 1968. DJD 5: 42-50.,$,4b7b0ce65087cbc09d12cc8044aba287fd7df03a06a4d1bd5524b9905101179f,https://iaa.iiifhosting.com/iiif/4b7b0ce65087cbc09d12cc8044aba287fd7df03a06a4d1bd5524b9905101179f
4Q171,600,3,verso,Full Spectrum Color-Verso,Allegro 1968. DJD 5: 42-50.,$,aa157560a4ea314ab5057b0828418d3bd3975be1dd33512e44a7ed818fe2e293,https://iaa.iiifhosting.com/iiif/aa157560a4ea314ab5057b0828418d3bd3975be1dd33512e44a7ed818fe2e293
4Q171,600,3,verso,Near Infra-Red (NIR) -Verso,Allegro 1968. DJD 5: 42-50.,$,3540d83b5bce3a8b5bd0eca2312f5c9be6e646983bcfc9056ce90e2449fa845e,https://iaa.iiifhosting.com/iiif/3540d83b5bce3a8b5bd0eca2312f5c9be6e646983bcfc9056ce90e2449fa845e
